,Stu,Jack,Billy,Mike,Rick,Wil,Scout,Kenny,Owen,Luke,Joe,Rob
Pick 1,Purdue/ISU Under 57.5,Houston -20.5,MSU -9.5,Colorado +6.5,Georgia Tech -6.5,Akron/Wake Under 48.5,Georgia Tech -6.5,Georgia Tech -6.5,Georgia Tech -6.5,USC -21.5,Washington State +23.5,North Texas +40.5
Pick 2,SMU -3.5,Oklahoma -41.5,Northern Illinois +31.5,Auburn -7.5,Purdue -36.5,Ole Miss/Louisville Under 55.5,PUR/ISU Under 57.5,Idaho/Utah Under 57.5,LSU -10.5,Toledo +9.5,Georgia Tech -6.5,Wisconsin +20.5
Pick 3,Kentucky -23.5,BC +7.5,VMI +55.5,Miami -24.5,Michigan State -9.5,Toledo/MSU Under 47.5,Michigan State -9.5,Fresno State/USC Over 51.5,Ohio State -50.5,LSU -10.5,ECU +27.5,UCLA -1.5
Pick 4,Memphis -11.5,LSU/Clemson Under 50.5,OSU/Ball State Over 56.5,Clemson +10.5,Notre Dame -20.5,Alabama -27.5,ILL/UAB Over 57.5,Kentucky -23.5,Ohio +23.5,Texas -29.5,Pitt-16.5,Clemson +10.5
Pick 5,Syracuse -34.5,UCLA/Cal Over 53.5,ND -20.5,Boise State +24.5,Ole Miss -6.5,Cal +1.5,Ball State/Ohio State Over 56.5,SMU -3.5,North Alabama +40.5,Ohio State -50.5,Notre Dame -20.5,West Virginia -20.5
